,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,anom_count,incident_id,num,class,mse
3010,4092,4094,2852,4026,4110,2854,1002,4092,4094,4394,1002,2742,4026,2708,4016,4026,2930,4148,4140,4140,2910,4162,4150,4152,4152,4168,2564,4168,2556,4156,4030,4020,4026,4020,4168,4156,4168,4130,1566,1570,4412,4406,4408,4410,4406,4408,4410,4412,4394,152,152,4120,2858,3256,3256,3254,3254,3254,4026,4016,4020,2744,4026,2708,4020,4394,4124,3254,4180,4124,2858,3256,3256,3254,3254,3254,3008,3008,2970,4092,4082,4090,4084,4090,4094,4082,4092,4090,4094,3236,2974,4100,2742,4022,4026,4148,2708,4026,4020,4026,4016,4026,4020,4066,4068,4066,4068,3632,2684,4120,2956,2956,2956,2956,2686,4068,4068,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,2708,4016,4026,4020,2744,0,4438031,1,normal,28.93897764313075
3011,1002,2742,4026,2708,4016,4026,2930,4148,4140,4140,2910,4162,4150,4152,4152,4168,2564,4168,2556,4156,4030,4020,4026,4020,4168,4156,4168,4130,1566,1570,4412,4406,4408,4410,4406,4408,4410,4412,4394,152,152,4120,2858,3256,3256,3254,3254,3254,4026,4016,4020,2744,4026,2708,4020,4394,4124,3254,4180,4124,2858,3256,3256,3254,3254,3254,3008,3008,2970,4092,4082,4090,4084,4090,4094,4082,4092,4090,4094,3236,2974,4100,2742,4022,4026,4148,2708,4026,4020,4026,4016,4026,4020,4066,4068,4066,4068,3632,2684,4120,2956,2956,2956,2956,2686,4068,4068,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,2708,4016,4026,4020,2744,4026,2708,4026,4020,3658,3636,4124,2956,2956,2956,0,4438031,2,normal,26.66569779581465
3052,4066,4066,3658,3636,2956,2956,2956,2956,2956,2956,2956,4066,4066,3658,3636,4124,2956,2956,2956,2956,2956,4066,4066,3658,3636,2956,2956,4066,4066,3658,3636,2956,2956,2956,4066,4066,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,2708,3658,3636,2742,4026,4148,2708,4020,4026,4026,4016,4020,4066,4068,3632,4068,4066,4168,4114,4168,4140,4140,3986,3986,4114,4002,4032,4394,1002,4002,4028,4032,2852,4028,4110,2852,4026,4110,2854,2854,2708,2742,4026,4148,4016,4026,4030,4020,4026,4020,4140,4140,4162,4150,4152,4152,4168,4168,4156,4156,4406,4406,4410,4410,4408,4412,4408,4412,1566,1570,4072,4068,3632,4068,4068,4068,3032,2654,4392,1200,1202,1640,1660,1680,1700,4394,1286,1214,1286,2652,3260,4092,4396,4394,1002,1002,3032,1286,1640,1660,0,4438031,43,normal,26.32747757175544
3012,2910,4162,4150,4152,4152,4168,2564,4168,2556,4156,4030,4020,4026,4020,4168,4156,4168,4130,1566,1570,4412,4406,4408,4410,4406,4408,4410,4412,4394,152,152,4120,2858,3256,3256,3254,3254,3254,4026,4016,4020,2744,4026,2708,4020,4394,4124,3254,4180,4124,2858,3256,3256,3254,3254,3254,3008,3008,2970,4092,4082,4090,4084,4090,4094,4082,4092,4090,4094,3236,2974,4100,2742,4022,4026,4148,2708,4026,4020,4026,4016,4026,4020,4066,4068,4066,4068,3632,2684,4120,2956,2956,2956,2956,2686,4068,4068,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,2708,4016,4026,4020,2744,4026,2708,4026,4020,3658,3636,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4438031,3,normal,22.891795020392077
3051,2956,2956,4066,4066,3658,3636,2956,2956,2956,2956,4066,4066,3658,3636,2956,2956,2956,2956,2956,2956,2956,4066,4066,3658,3636,4124,2956,2956,2956,2956,2956,4066,4066,3658,3636,2956,2956,4066,4066,3658,3636,2956,2956,2956,4066,4066,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,2708,3658,3636,2742,4026,4148,2708,4020,4026,4026,4016,4020,4066,4068,3632,4068,4066,4168,4114,4168,4140,4140,3986,3986,4114,4002,4032,4394,1002,4002,4028,4032,2852,4028,4110,2852,4026,4110,2854,2854,2708,2742,4026,4148,4016,4026,4030,4020,4026,4020,4140,4140,4162,4150,4152,4152,4168,4168,4156,4156,4406,4406,4410,4410,4408,4412,4408,4412,1566,1570,4072,4068,3632,4068,4068,4068,3032,2654,4392,1200,1202,1640,1660,1680,1700,4394,1286,1214,1286,2652,0,4438031,42,normal,21.78607042123551
3013,4030,4020,4026,4020,4168,4156,4168,4130,1566,1570,4412,4406,4408,4410,4406,4408,4410,4412,4394,152,152,4120,2858,3256,3256,3254,3254,3254,4026,4016,4020,2744,4026,2708,4020,4394,4124,3254,4180,4124,2858,3256,3256,3254,3254,3254,3008,3008,2970,4092,4082,4090,4084,4090,4094,4082,4092,4090,4094,3236,2974,4100,2742,4022,4026,4148,2708,4026,4020,4026,4016,4026,4020,4066,4068,4066,4068,3632,2684,4120,2956,2956,2956,2956,2686,4068,4068,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,2708,4016,4026,4020,2744,4026,2708,4026,4020,3658,3636,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4438031,4,normal,20.447315353472376
3088,3658,4068,4066,3636,3658,4066,4068,2708,4026,4016,4026,2742,4026,4148,4020,2708,4020,4026,3636,3658,4120,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4120,4066,4068,3658,3636,4066,4068,3658,3636,4066,4068,3636,3658,4066,4068,3636,3658,4068,4066,3658,3636,4120,4068,4066,3658,3636,4068,4066,3658,3636,4120,4068,4066,3658,3636,4120,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,3658,3636,4068,4066,2708,2742,4026,4148,2708,4026,4026,4020,4016,4020,4026,4120,4120,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,0,4438089,4,normal,8.852035588091619
3122,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,2956,2956,2956,2956,2956,2956,4068,4068,3658,3636,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3658,3636,2956,2956,2956,2956,2956,4068,4068,3658,3636,2956,2956,2956,4066,4066,3658,3636,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3658,3636,4078,3620,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3658,3636,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,2956,2682,2956,2956,4068,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4394,952,958,962,0,4438163,14,normal,16.336760756022578
3108,2956,2956,2956,2956,2956,2956,4066,4066,2708,3234,4016,4026,4020,2744,4026,2708,4020,4026,2602,3636,3658,4124,4066,4066,3636,3658,4066,4066,3636,3658,2682,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4124,4068,4068,3636,3658,4124,4066,4066,3636,3658,4066,4066,3636,3658,4148,4124,4068,4068,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4124,4068,4068,3760,3768,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4068,4068,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4124,4068,4068,2708,3760,3768,4026,2742,4026,4148,4016,4020,4026,2708,4020,3658,3636,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,0,4438163,0,normal,11.03232643760624
3147,4150,4152,4168,2956,4156,4406,4410,4408,4412,2956,2956,3254,3254,2852,2854,4180,3254,2956,4120,2956,2956,2886,2956,2956,2956,2956,2858,2658,2688,2956,3632,4066,4068,3256,4066,4068,2708,2956,2956,2956,2956,2956,2956,2956,2956,4026,4016,4020,4026,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,3256,3984,2956,2956,2956,4068,3636,3658,2956,2956,4082,4092,2956,4094,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,4068,3636,3658,2956,4066,2956,2956,2956,2742,4026,2708,4026,4020,2956,2956,4066,4120,3632,2708,2956,2956,2882,2956,3982,4048,4068,4048,2736,2708,4016,4020,2708,4020,4026,4028,4028,4026,4026,2744,4158,4016,2708,4026,2740,2980,4030,4020,4026,4020,2972,3636,3658,3236,2976,4100,4124,2956,2956,2956,0,4438169,12,normal,20.033982586429083
3146,4148,2708,4030,4020,4026,2956,2956,2956,4140,4162,4150,4152,4168,2956,4156,4406,4410,4408,4412,2956,2956,3254,3254,2852,2854,4180,3254,2956,4120,2956,2956,2886,2956,2956,2956,2956,2858,2658,2688,2956,3632,4066,4068,3256,4066,4068,2708,2956,2956,2956,2956,2956,2956,2956,2956,4026,4016,4020,4026,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,3256,3984,2956,2956,2956,4068,3636,3658,2956,2956,4082,4092,2956,4094,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,4068,3636,3658,2956,4066,2956,2956,2956,2742,4026,2708,4026,4020,2956,2956,4066,4120,3632,2708,2956,2956,2882,2956,3982,4048,4068,4048,2736,2708,4016,4020,2708,4020,4026,4028,4028,4026,4026,2744,4158,4016,2708,4026,2740,2980,4030,4020,4026,4020,0,4438169,11,normal,19.482139130858616
3148,2956,3254,3254,2852,2854,4180,3254,2956,4120,2956,2956,2886,2956,2956,2956,2956,2858,2658,2688,2956,3632,4066,4068,3256,4066,4068,2708,2956,2956,2956,2956,2956,2956,2956,2956,4026,4016,4020,4026,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,3256,3984,2956,2956,2956,4068,3636,3658,2956,2956,4082,4092,2956,4094,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,4068,3636,3658,2956,4066,2956,2956,2956,2742,4026,2708,4026,4020,2956,2956,4066,4120,3632,2708,2956,2956,2882,2956,3982,4048,4068,4048,2736,2708,4016,4020,2708,4020,4026,4028,4028,4026,4026,2744,4158,4016,2708,4026,2740,2980,4030,4020,4026,4020,2972,3636,3658,3236,2976,4100,4124,2956,2956,2956,2956,2956,2956,4068,4066,3636,3658,2956,2956,2956,0,4438169,13,normal,18.91314002354441
3145,4004,4032,4026,4028,2852,4110,2854,3982,2742,4026,4148,2708,4030,4020,4026,2956,2956,2956,4140,4162,4150,4152,4168,2956,4156,4406,4410,4408,4412,2956,2956,3254,3254,2852,2854,4180,3254,2956,4120,2956,2956,2886,2956,2956,2956,2956,2858,2658,2688,2956,3632,4066,4068,3256,4066,4068,2708,2956,2956,2956,2956,2956,2956,2956,2956,4026,4016,4020,4026,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,3256,3984,2956,2956,2956,4068,3636,3658,2956,2956,4082,4092,2956,4094,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,4068,3636,3658,2956,4066,2956,2956,2956,2742,4026,2708,4026,4020,2956,2956,4066,4120,3632,2708,2956,2956,2882,2956,3982,4048,4068,4048,2736,2708,4016,4020,2708,4020,4026,4028,4028,4026,4026,2744,0,4438169,10,normal,18.504286292013287
3141,2742,4148,3636,3658,3254,4054,4180,4020,4028,2708,2740,4030,4020,4026,4120,4066,4068,2708,2956,2742,4148,4140,2564,3986,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4004,4032,4026,4028,2852,4110,2854,3982,2742,4026,4148,2708,4030,4020,4026,2956,2956,2956,4140,4162,4150,4152,4168,2956,4156,4406,4410,4408,4412,2956,2956,3254,3254,2852,2854,4180,3254,2956,4120,2956,2956,2886,2956,2956,2956,2956,2858,2658,2688,2956,3632,4066,4068,3256,4066,4068,2708,2956,2956,2956,2956,2956,2956,2956,2956,4026,4016,4020,4026,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,3256,3984,2956,2956,2956,4068,3636,3658,2956,2956,4082,4092,2956,4094,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,0,4438169,6,normal,18.019982755275723
3206,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3658,3636,4078,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2682,4066,4068,2708,3636,3658,2744,4148,4026,4026,2708,4020,4016,4026,4020,4072,3772,3772,2744,4148,4016,4068,4066,3636,3658,3678,4396,1620,4068,4066,4394,1766,3766,3772,3636,3658,3774,2744,4148,4016,4396,4394,1766,3762,4068,4066,3634,2744,4148,4016,2744,4148,4016,4066,0,4438275,22,normal,26.08198513498
3205,4066,3636,3658,4078,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3658,3636,4078,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2682,4066,4068,2708,3636,3658,2744,4148,4026,4026,2708,4020,4016,4026,4020,4072,3772,3772,2744,4148,4016,4068,4066,3636,3658,3678,4396,1620,4068,4066,4394,1766,3766,3772,3636,3658,3774,2744,4148,4016,4396,4394,1766,3762,0,4438275,21,normal,23.80762409255564
3204,4068,4066,3636,3658,4078,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4066,3658,3636,4078,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3658,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2682,4066,4068,2708,3636,3658,2744,4148,4026,4026,2708,4020,4016,4026,4020,4072,3772,3772,2744,4148,4016,4068,4066,3636,3658,3678,4396,1620,4068,4066,4394,1766,3766,3772,0,4438275,20,normal,19.336284498627798
3246,2956,2956,4170,2956,4168,4166,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4140,4148,4140,4162,4150,4152,3224,4168,4396,4156,4112,4154,4156,2956,4112,4154,4168,4156,4112,4154,4156,2956,4112,4154,4168,2956,2556,4168,4156,4112,4392,704,2572,4140,4140,4162,4150,4168,4140,2956,4066,2708,3986,2742,4004,2852,4110,2854,2708,4026,4394,4030,4018,4148,4140,4162,4150,2534,0,4438365,29,normal,31.90990075364892
3245,3658,2956,2956,2956,2956,2956,2956,2956,4168,2956,2956,2956,4170,2956,4168,4166,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4140,4148,4140,4162,4150,4152,3224,4168,4396,4156,4112,4154,4156,2956,4112,4154,4168,4156,4112,4154,4156,2956,4112,4154,4168,2956,2556,4168,4156,4112,4392,704,2572,4140,4140,4162,4150,4168,4140,2956,4066,2708,3986,2742,4004,2852,4110,2854,0,4438365,28,normal,28.64037253312008
3244,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,4168,2956,2956,2956,4170,2956,4168,4166,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4140,4148,4140,4162,4150,4152,3224,4168,4396,4156,4112,4154,4156,2956,4112,4154,4168,4156,4112,4154,4156,2956,4112,4154,4168,2956,2556,4168,4156,4112,4392,704,2572,4140,4140,4162,4150,4168,0,4438365,27,normal,27.10061079678056
3243,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,4168,2956,2956,2956,4170,2956,4168,4166,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,3982,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4140,4148,4140,4162,4150,4152,3224,4168,4396,4156,4112,4154,4156,2956,4112,4154,4168,4156,4112,4154,4156,2956,4112,4154,4168,2956,2556,4168,0,4438365,26,normal,19.215036926550013
3250,2956,4068,4066,2708,4026,4016,2744,4148,4026,4026,4020,2708,4026,4020,3636,3658,4124,4180,4124,4068,4066,3636,3658,4124,4068,4066,3658,3636,4068,4066,3658,3636,4124,4066,4068,2686,3658,3636,2684,4124,4068,4066,2686,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4068,4066,2686,3636,3658,4124,4066,4068,3636,3658,4068,4066,3658,3636,4078,4068,4066,3658,3636,4124,4068,4066,3658,3636,4078,4068,4066,3658,3636,4124,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4066,4068,2708,2744,4026,2708,4020,4026,4016,4020,4026,3636,3658,4124,2956,2956,2956,2956,2956,2956,0,4438391,0,normal,8.41791564728624
3251,4020,2708,4026,4020,3636,3658,4124,4180,4124,4068,4066,3636,3658,4124,4068,4066,3658,3636,4068,4066,3658,3636,4124,4066,4068,2686,3658,3636,2684,4124,4068,4066,2686,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4124,4068,4066,3636,3658,4068,4066,2686,3636,3658,4124,4066,4068,3636,3658,4068,4066,3658,3636,4078,4068,4066,3658,3636,4124,4068,4066,3658,3636,4078,4068,4066,3658,3636,4124,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4068,4066,3658,3636,4124,4066,4068,2708,2744,4026,2708,4020,4026,4016,4020,4026,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,3658,2956,2956,2956,0,4438391,1,normal,7.251252776612865
3278,2744,4148,2744,4016,4026,2742,4026,4016,4026,2708,4026,4020,4020,2858,4394,800,2742,4016,2852,2854,2742,4016,2744,4148,3634,3364,150,3354,3360,4124,4124,3982,4054,4066,4068,2736,4054,2708,4016,4016,2708,4020,4026,4028,4028,4028,4026,4026,2708,2742,4026,4016,4026,4026,4016,2740,4030,4020,4026,4020,4020,4026,2852,2854,4148,3254,3254,4120,2858,2658,2688,3620,2684,3256,3256,3256,4016,4026,4026,2742,4026,4016,4026,4026,2708,4026,4020,4020,4020,4148,2852,3632,2854,4120,2858,2658,2688,3256,3256,3256,2852,2854,3254,3254,3254,2970,4092,4082,4090,4084,4090,4094,4092,4082,4090,4094,4082,4092,4090,4094,3234,2974,4100,4120,2956,2956,4068,4066,4066,2708,2852,2854,3010,1286,4392,1094,4394,4114,4168,4168,4114,4168,4140,4140,4140,3986,4114,3986,4114,3986,0,4438399,0,normal,39.83418723565528
3343,2956,2956,2682,2682,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2744,2956,2956,2852,2854,2956,4124,2956,2858,2658,2688,2956,2956,4066,3254,2896,3636,3658,3254,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2742,4026,4068,3636,3658,2852,2854,2970,4082,4090,4092,4084,4090,4094,3234,2956,2956,2682,2974,4100,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,4120,3632,2956,2956,4068,3636,3658,2956,4122,2708,2956,2956,2956,2744,4026,4068,4124,3636,3658,2956,2956,2956,2956,2956,0,4438417,42,normal,9.859373729630349
3342,2956,2956,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2682,2682,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2744,2956,2956,2852,2854,2956,4124,2956,2858,2658,2688,2956,2956,4066,3254,2896,3636,3658,3254,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2742,4026,4068,3636,3658,2852,2854,2970,4082,4090,4092,4084,4090,4094,3234,2956,2956,2682,2974,4100,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,4120,3632,2956,2956,4068,3636,3658,2956,4122,2708,2956,2956,2956,2744,0,4438417,41,normal,9.722669807719322
3344,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2744,2956,2956,2852,2854,2956,4124,2956,2858,2658,2688,2956,2956,4066,3254,2896,3636,3658,3254,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2742,4026,4068,3636,3658,2852,2854,2970,4082,4090,4092,4084,4090,4094,3234,2956,2956,2682,2974,4100,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,4120,3632,2956,2956,4068,3636,3658,2956,4122,2708,2956,2956,2956,2744,4026,4068,4124,3636,3658,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,0,4438417,43,normal,9.510254658889457
3345,2956,2956,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2744,2956,2956,2852,2854,2956,4124,2956,2858,2658,2688,2956,2956,4066,3254,2896,3636,3658,3254,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2742,4026,4068,3636,3658,2852,2854,2970,4082,4090,4092,4084,4090,4094,3234,2956,2956,2682,2974,4100,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,4120,3632,2956,2956,4068,3636,3658,2956,4122,2708,2956,2956,2956,2744,4026,4068,4124,3636,3658,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4438417,44,normal,9.378295535912846
